,timestamp,file_name,total_memory,used_memory,free_memory,catched_memory
0,2024-12-14T00:00:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.9,7.56 GB,17.51 GB
1,2024-12-14T00:00:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.9,7.56 GB,17.51 GB
2,2024-12-14T00:00:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.83,7.58 GB,17.49 GB
3,2024-12-14T00:01:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.9,7.56 GB,17.49 GB
4,2024-12-14T00:01:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.82,7.58 GB,17.48 GB
5,2024-12-14T00:01:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.82,7.58 GB,17.49 GB
6,2024-12-14T00:02:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.85,7.57 GB,17.50 GB
7,2024-12-14T00:02:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.88,7.56 GB,17.51 GB
8,2024-12-14T00:02:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.85,7.57 GB,17.50 GB
9,2024-12-14T00:03:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.83,7.58 GB,17.50 GB
10,2024-12-14T00:03:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.78,7.59 GB,17.48 GB
11,2024-12-14T00:03:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.81,7.58 GB,17.49 GB
12,2024-12-14T00:04:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.91,7.55 GB,17.50 GB
13,2024-12-14T00:04:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.96,7.54 GB,17.51 GB
14,2024-12-14T00:04:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.94,7.55 GB,17.52 GB
15,2024-12-14T00:05:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.92,7.55 GB,17.53 GB
16,2024-12-14T00:05:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,76.01,7.52 GB,17.54 GB
17,2024-12-14T00:05:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.95,7.54 GB,17.53 GB
18,2024-12-14T00:06:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.58,7.66 GB,17.42 GB
19,2024-12-14T00:06:27.769Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.6,7.65 GB,17.42 GB
20,2024-12-14T00:06:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.59,7.66 GB,17.43 GB
21,2024-12-14T00:07:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.6,7.65 GB,17.43 GB
22,2024-12-14T00:07:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.63,7.64 GB,17.44 GB
23,2024-12-14T00:07:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.66,7.63 GB,17.44 GB
24,2024-12-14T00:08:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.71,7.62 GB,17.45 GB
25,2024-12-14T00:08:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.75,7.61 GB,17.47 GB
26,2024-12-14T00:08:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.76,7.60 GB,17.47 GB
27,2024-12-14T00:09:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.75,7.60 GB,17.47 GB
28,2024-12-14T00:09:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.74,7.61 GB,17.46 GB
29,2024-12-14T00:09:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.73,7.61 GB,17.47 GB
30,2024-12-14T00:10:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.78,7.59 GB,17.48 GB
31,2024-12-14T00:10:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.75,7.60 GB,17.47 GB
32,2024-12-14T00:10:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.77,7.60 GB,17.48 GB
33,2024-12-14T00:11:07.769Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.79,7.59 GB,17.48 GB
34,2024-12-14T00:11:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.81,7.59 GB,17.49 GB
35,2024-12-14T00:11:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.85,7.57 GB,17.50 GB
36,2024-12-14T00:12:07.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.86,7.57 GB,17.51 GB
37,2024-12-14T00:12:27.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.79,7.59 GB,17.49 GB
38,2024-12-14T00:12:47.768Z,metricbeat-logs.2024-12-14T00_00_00.000Z-2024-12-14T00_15_00.000Z,31.36 GB,75.81,7.59 GB,17.49 GB
